Фамилия;Имя;Отчество;День рождения;Должность?;Состоит в комитетах;Дата подтверждения полномочий;Срок окончания полномочий;Адрес email;Телефоны;Адрес приемной в субъекте Российской Федерации;Телефоны приемной в субъекте Российской Федерации;ID региона
Лысков;Анатолий;Григорьевич;08.03.1947;Представитель от исполнительного органа государственной власти Липецкой области;Председатель Комитета Совета Федерации по правовым и судебным вопросам, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности;31.01.2002;июнь 2015;AGLyskov@council.gov.ru;,986-60-09;398014, г. Липецк, Соборная площадь, д.1;(8-474-2)  27-25-65, 77-65-96, факс 72-24-26, 72-24-26;280032
Лысяков;Алексей;Алексеевич;10.11.1969;Представитель от законодательного (представительного) органа государственной власти  Ставропольского края;Член Комитета Совета Федерации по экономической политике, предпринимательству и собственности, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;21.02.2002;март 2012;AALysjakov@council.gov.ru;692-12-89,986-60-81;355025, г. Ставрополь, пл. Ленина, д.1;(8-865-2) 26-81-63;279954
Львов;Николай;Питиримович;21.02.1948;Представитель от исполнительного органа государственной власти Архангельской области;Первый заместитель председателя Комитета Совета Федерации по делам Севера и малочисленных народов, Член Комиссии Совета Федерации по национальной морской политике;15.10.2008;апрель 2012;NPLvov@council.gov.ru;697-46-43,986-69-36;160061, г. Архангельск, Троицкий просп., д. 49;т./факс (8-812-2) 20-83-61;279966
Максюта;Николай;Кириллович;26.05.1947;Представитель от исполнительного органа государственной власти Волгоградской области;Заместитель председателя Комиссии Совета Федерации по национальной морской политике, Член Комитета Совета Федерации по вопросам местного самоуправления;03.02.2010;январь 2015;NKMaksyuta@council.gov.ru;697-91-47,6-77-10;;;1646274
Малкин;Виталий;Борисович;16.09.1952;Представитель от исполнительного органа государственной власти Республики Бурятия;Член Комитета Совета Федерации по международным делам, Член Комиссии Совета Федерации по делам молодежи и туризму, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;01.01.2004;июль 2012;VBMalkin@council.gov.ru;629-13-66,986-63-66;670001, г. Улан-Удэ, ул. Сухэ-Батора, д.54, ком. 404;(8-301-2) 21-46-52, 21-84-96;279886
Малкин;Ефим;Наумович;09.07.1954;Представитель от законодательного (представительного) органа государственной власти Чукотского автономного округа;Член Комитета Совета Федерации по бюджету, Член Комиссии Совета Федерации по естественным монополиям;01.01.2002;март 2011;ENMalkin@council.gov.ru;692-42-52,986-63-37;686710, г. Анадырь, ул. Отке, д.29;(8-427-22) 2-93-50, факс 2-93-51;280038
Маргелов;Михаил;Витальевич;22.12.1964;Представитель от исполнительного органа государственной власти Псковской области;Председатель Комитета Совета Федерации по международным делам;21.12.2000;февраль 2014;MVMargelov@council.gov.ru;692-13-58, 692-58-96,986-63-58;180001, г. Псков, ул. Некрасова, д.2;(8-811-2) 16-08-31;280076
Маслов;Виктор;Николаевич;04.10.1950;Представитель от законодательного (представительного) органа государственной власти Смоленской области;Заместитель председателя Комитета Совета Федерации по обороне и безопасности;30.01.2008;декабрь 2012;VNMaslov@council.gov.ru;692-42-34,986-61-37;214008, г. Смоленск, пл. Ленина, д. 1, каб. 532;(8-481-2) 38-53-22;280097
Матвеев;Александр;Сафронович;08.02.1943;Представитель от законодательного (представительного) органа государственной власти  Республики Саха (Якутия);Председатель Комитета Совета Федерации по делам Севера и малочисленных народов, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;23.01.2003;март 2013;ASMatveev@council.gov.ru;692-12-94,986-67-23;677022, Якутск, ул.Кирова, д.11, Дом Правительства;(8-411-2) 43-52-03, 43-51-94;279935
Межевич;Валентин;Ефимович;17.08.1947;Представитель от законодательного (представительного) органа государственной власти Иркутской области;Первый заместитель председателя Комиссии Совета Федерации по естественным монополиям, Член Комитета Совета Федерации по делам Федерации и региональной политике, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;12.11.2008;октябрь 2013;megevich@council.gov.ru;692-75-89,986-60-49;;;1649530
Мельников;Владимир;Ильич;26.01.1953;Представитель от администрации Читинской области;Заместитель председателя Комитета Совета Федерации по обороне и безопасности, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности;24.01.2001;январь 2010;VIMelnikov@council.gov.ru;623-91-42,986-60-53;672021, г. Чита, ул. Амурская, д.68;(8-302-2) 35-14-92;1649002
Миронов;Сергей;Михайлович;14.02.1953;Представитель от законодательного (представительного) органа государственной власти города Санкт-Петербурга;Председатель Совета Федерации;13.06.2001;март 2012;info@mironov.ru;986-66-89;190107, г. Санкт-Петербург, Исаакиевская пл., д.6;(8-812)  315-84-55, факс 319-97-49;280026
Молчанов;Андрей;Юрьевич;24.09.1971;Представитель от исполнительного органа государственной власти Ленинградской области;Председатель Комитета Совета Федерации по делам Содружества Независимых Государств;30.01.2008;июль 2012;AUMolchanov@council.gov.ru;629-82-38,986-66-88;;;280029
Мошкович;Вадим;Николаевич;06.04.1967;Представитель от законодательного (представительного) органа государственной власти Белгородской области;Член Комитета Совета Федерации по делам Содружества Независимых Государств, Член Комиссии Совета Федерации по делам молодежи и туризму;26.05.2006;октябрь 2010;VNMoshkovich@council.gov.ru;692-66-74,986-61-57;308005, г. Белгород, Соборная пл., д. 4;(8-483-2) 32-86-26;279975
Нарусова;Людмила;Борисовна;02.05.1951;Представитель от законодательного (представительного) органа государственной власти Республики Тыва;Председатель Комиссии Совета Федерации по информационной политике, Член Комитета Совета Федерации по образованию и науке, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;08.10.2002;октябрь 2010;LBNarusova@council.gov.ru;692-75-27,986-60-57;667000, Кызыл, ул.Ленина, д.32;(8-394-22)  3-73-25, 2-16-32, факс 2-10-43;279922
Неёлов;Юрий;Васильевич;24.06.1952;Представитель от исполнительного органа государственной власти Ямало-Ненецкого автономного округа;Член Комитета Совета Федерации по природным ресурсам и охране окружающей среды;31.03.2010;март 2015;YVNeelov@council.gov.ru;692-58-69,986-67-56;;;280119
Новиков;Вячеслав;Александрович;09.10.1948;Представитель от законодательного (представительного) органа государственной власти Красноярского края;Заместитель председателя Комитета Совета Федерации по бюджету, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комиссии Совета Федерации по естественным монополиям;19.09.2007;апрель 2012;VANovikov@council.gov.ru;623-32-36ф, 692-66-01,986-61-96;660009, г. Красноярск, просп. Мира, д. 110;(8-391-2) 49-34-33;1649531
Оганян;Оганес;Арменакович;29.10.1961;Представитель от законодательного (представительного) органа государственной власти Пермского края;Председатель Комитета Совета Федерации по экономической политике, предпринимательству и собственности;02.03.2007;декабрь 2011;OAOganjan@council.gov.ru;692-30-28,986-60-62;614006, г. Пермь, ул. Ленина, д. 51. комн. 623;(8-342) 217-76-20. факс 235-13-05;1638839
Озеров;Виктор;Алексеевич;05.01.1958;Представитель от законодательного (представительного) органа государственной власти Хабаровского края;Председатель Комитета Совета Федерации по обороне и безопасности, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;15.12.2001;март 2014;VAOzerov@council.gov.ru;692-56-39,986-60-64;680002, Хабаровск, ул.Муравьева-Амурского, д.19, каб.101;(8-421-2)  32-56-20;279957
Орлов;Виктор;Петрович;22.03.1940;Представитель от исполнительного органа государственной власти Камчатского края;Председатель Комитета Совета Федерации по природным ресурсам и охране окружающей среды, Член Комиссии Совета Федерации по естественным монополиям;20.02.2008;июль 2012;VPOrlov@council.gov.ru;692-10-90,986-60-65;683017, г. Петропавловск-Камчатский, ул. Владивостокская, д.2/1;(8-415-2) 41-22-62;1647936
Орлова;Светлана;Юрьевна;23.10.1954;Представитель от законодательного (представительного) органа государственной власти Кемеровской области;Заместитель Председателя Совета Федерации, Член Комитета Совета Федерации по бюджету, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;24.11.2001;октябрь 2013;SUOrlova@council.gov.ru;692-61-74,986-63-65;650099, г. Кемерово, Советский просп., д.62;(8-384-2) тел./факс 36-18-90;280013
Оськина;Вера;Егоровна;23.03.1955;Представитель от исполнительного органа государственной власти Красноярского края;;14.07.2010;февраль 2015;;,;;;1649531
Паланкоев;Ахмет;Магомедович;09.09.1963;Представитель от законодательного (представительного) органа государственной власти Республики Ингушетия;;09.06.2010;март 2012;;697-77-36,6-73-28;;;279892
Пантелеев;Алексей;Борисович;02.02.1959;Представитель от законодательного (представительного) органа государственной власти Ненецкого автономного округа;Член Комитета Совета Федерации по правовым и судебным вопросам, Член Комиссии Совета Федерации по культуре;18.07.2009;март 2014;ABPanteleev@council.gov.ru;623-16-14ф, 695-44-75,6-70-57, 986-60-42;;;279969
Пантелеев;Олег;Евгеньевич;21.07.1952;Представитель от исполнительного органа государственной власти Курганской области;Первый заместитель председателя Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комитета Совета Федерации по делам Содружества Независимых Государств, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;26.04.2001;декабрь 2014;OEPanteleev@council.gov.ru;692-14-22,986-64-57;640024, г. Курган, ул. Гоголя, д.56, ком. 63;(8-352-2) 42-10-35;280020
Парфенов;Валерий;Павлович;16.05.1954;Представитель от законодательного (представительного) органа государственной власти Самарской области;Заместитель председателя Комитета Совета Федерации по делам Федерации и региональной политике, Заместитель председателя Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству, Член Комиссии Совета Федерации по вопросам развития институтов гражданского общества;06.07.2007;март 2012;VPParfenov@council.gov.ru;,986-60-41;443100, г. Самара, ул. Молодогвардейсткая, д. 187;(8-846) 242-14-89, т/факс 242-14-89, 242-48-25;280085
Пахомов;Алексей;Михайлович;15.01.1945;Представитель от законодательного (представительного) органа государственной власти Республики Татарстан;Член Комитета Совета Федерации по бюджету, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации;08.06.2005;март 2014;AMPahomov@council.gov.ru;692-76-25,986-69-48;420060, г. Казань, пл. Свободы, д.1, ком.913;(8-843) 267-64-94, факс 292-78-49;279919
Петренко;Валентина;Александровна;23.08.1955;Представитель от исполнительного органа государственной власти Республики Хакасия;Председатель Комитета Совета Федерации по социальной политике и здравоохранению;26.04.2001;январь 2013;VAPetrenko@council.gov.ru;692-57-51,986-60-67;655019, г. Абакан, просп. Ленина, д.67;(8-390) 222-33-22, 222-33-22;279928
Петров;Александр;Юрьевич;20.01.1964;Представитель от исполнительного органа государственной власти Брянской области;Заместитель председателя Комитета Совета Федерации по обороне и безопасности, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;12.10.2005;октябрь 2012;AUPetrov@council.gov.ru;692-58-02,986-60-46;241002 Брянск пр-т Ленина, д.33;(8-483-2) 46-26-11, 74-10-34, факс 41-38-95;279978
Петров;Владимир;Анатольевич;05.11.1954;Представитель от законодательного (представительного) органа государственной власти Тверской области;Первый заместитель председателя Комитета Совета Федерации по бюджету, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации, Член Комиссии Совета Федерации по национальной морской политике;25.12.2001;март 2011;VAPetrov@council.gov.ru;697-59-07, 697-61-63, 697-73-56,986-61-63;170000, г. Тверь, ул. Советская, д.33;(8-482-2) 35-88-23;280103
Пичугов;Виктор;Александрович;29.05.1958;Представитель от законодательного (представительного) органа государственной власти Ханты-Мансийского автономного округа - Югры;Заместитель председателя Комитета Совета Федерации по финансовым рынкам и денежному обращению, Член Комиссии Совета Федерации по естественным монополиям, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;07.07.2006;март 2011;VAPichugov@council.gov.ru;692-63-27,986-64-17;"г.Москва, ул.Брянская, д.5, 13 этаж; 628006, г. Ханты-Мансийск, ул. Мира, д. 5";"(8-495) 510-53-94; (8-346-71) 9-28-28";280115
Плотников;Владимир;Николаевич;30.11.1961;Представитель от законодательного (представительного) органа государственной власти Волгоградской области;Член Комитета Совета Федерации по аграрно-продовольственной политике и рыбохозяйственному комплексу, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;25.03.2009;март 2014;VNPlotnikov@council.gov.ru;629-96-79т/ф,986-63-93;;;1646274
Подлесов;Александр;Минович;31.07.1955;Представитель от исполнительного органа государственной власти Нижегородской области;Заместитель председателя Комитета Совета Федерации по международным делам, Член Комиссии Совета Федерации по делам молодежи и туризму, Член Комиссии Совета Федерации по информационной политике;12.10.2005;август 2010;AMPodlesov@council.gov.ru;623-92-58,986-62-38;603082, г. Нижний Новгород, Кремль, корп.1;(8-831) 39-04-48, тел./факс 39-05-71;280050
Пожитков;Николай;Федорович;30.09.1947;Представитель от законодательного (представительного) органа государственной власти Оренбургской области;Первый заместитель председателя Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации, Член Комитета Совета Федерации по делам Содружества Независимых Государств, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;30.12.2003;март 2011;NFPozhitkov@council.gov.ru;692-59-98,986-64-20;460015, г. Оренбург, Дом Советов, ком. 423;(8-353-2) 77-31-37;280061
Пономарева;Лариса;Николаевна;01.07.1949;Представитель от исполнительного органа государственной власти Чукотского автономного округа;Первый заместитель председателя Комитета Совета Федерации по социальной политике и здравоохранению, Член Комиссии Совета Федерации по делам молодежи и туризму;23.03.2005;июль 2013;LNPonomareva@council.gov.ru;692-34-25,986-65-53;689000, г. Анадырь, ул. Беренга, д.39;(8-427-22) 2-90-39,  факс 2-06-04;280038
Попов;Вячеслав;Алексеевич;22.11.1946;Представитель от законодательного (представительного) органа государственной власти Мурманской области;Председатель Комиссии Совета Федерации по национальной морской политике, Член Комитета Совета Федерации по обороне и безопасности;04.01.2002;март 2012;VAPopov@council.gov.ru;692-38-51, 697-60-54,986-63-67;183016, Мурманск, ул.Софьи Перовской, д.2;(8-815-2)  тел./факс 45-47-09;280047
Починок;Александр;Петрович;12.01.1958;Представитель от исполнительного органа государственной власти Краснодарского края;Заместитель председателя Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству, Заместитель председателя Комиссии Совета Федерации по вопросам развития институтов гражданского общества, Член Комитета Совета Федерации по бюджету;06.06.2007;апрель 2012;APPochinok@council.gov.ru;692-58-65,986-65-54, 986-66-51;;;279941
Пугачев;Сергей;Викторович;04.02.1963;Представитель от исполнительного органа государственной власти Республики Тыва;Член Комитета Совета Федерации по делам Федерации и региональной политике;24.12.2001;апрель 2012;SVPugachev@council.gov.ru;623-37-48,986-60-70;667000, г. Кызыл,, ул.Чульдум, д.18, Дом Правительства;(8-394-22) 2-12-84,  факс 2-13-54;279922
Рогачев;Игорь;Алексеевич;01.03.1932;Представитель от исполнительного органа государственной власти Амурской области;Член Комитета Совета Федерации по международным делам, Член Комиссии Совета Федерации по информационной политике;22.06.2005;октябрь 2012;IARogachev@council.gov.ru;692-80-66,986-69-90;675000, г. Благовещенск, ул. Ленина, д.135;(8-416-2) 44-12-46;279963
Россель;Эдуард;Эргартович;08.10.1937;Представитель от исполнительного органа государственной власти Свердловской области;Член Комитета Совета Федерации по финансовым рынкам и денежному обращению;16.12.2009;ноябрь 2013;EERossel@council.gov.ru;629-05-21ф,986-64-68;;;280094
Рушайло;Владимир;Борисович;28.07.1953;Представитель от законодательного (представительного) органа государственной власти Архангельской области;Первый заместитель председателя Комитета Совета Федерации по правовым и судебным вопросам, Член Комиссии Совета Федерации по вопросам развития институтов гражданского общества;07.12.2007;март 2013;VBRushaylo@council.gov.ru;692-58-81,986-62-69;163000, г. Архангельск, пл. Ленина, д. 1, комн. 105;(8-818-2) 21-54-08;279966
Рыжков;Николай;Иванович;28.09.1929;Представитель от исполнительного органа государственной власти Белгородской области;Председатель Комиссии Совета Федерации по естественным монополиям, Член Комитета Совета Федерации по вопросам местного самоуправления;17.09.2003;июнь 2012;NIRyzhkov@council.gov.ru;692-59-86, 697-33-45,986-60-63, 986-64-53;308005, г. Белгород Соборная пл., д. 4, комн. 401-403;(8-472-2)32-73-01;279975
Сабсаби;Зияд;Мухамедович;01.02.1964;Представитель от законодательного (представительного) органа государственной власти Чеченской Республики;Заместитель председателя Комитета Совета Федерации по международным делам, Член Комиссии Совета Федерации по культуре;26.11.2008;октябрь 2012;ZMSabsabi@council.gov.ru;697-99-04,6-71-53;;;279930
Савенков;Александр;Николаевич;29.03.1961;Представитель от законодательного (представительного) органа государственной власти Владимирской области;Заместитель председателя Комитета Совета Федерации по конституционному законодательству, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности;25.03.2009;март 2013;ANSavenkov@council.gov.ru;692-65-38,986-68-55;;;279980
Савин;Владимир;Иванович;03.08.1948;Представитель от исполнительного органа государственной власти Тверской области;Член Комитета Совета Федерации по промышленной политике, Член Комиссии Совета Федерации по естественным монополиям, Член Комиссии Совета Федерации по вопросам развития институтов гражданского общества;30.01.2008;июль 2012;SavinVI@council.gov.ru;692-14-85,986-66-35;;;280103
Сагал;Елена;Михайловна;02.01.1963;Представитель от исполнительного органа государственной власти Ставропольского края;Член Комитета Совета Федерации по финансовым рынкам и денежному обращению;25.12.2009;май 2013;Sagal@council.gov.ru;697-98-28,6-70-11;;;279954
Салтыков;Анатолий;Иванович;29.10.1947;Представитель от исполнительного органа государственной власти Новосибирской области;Первый заместитель председателя Комитета Совета Федерации по вопросам местного самоуправления, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;27.02.2004;июль 2012;AISaltykov@council.gov.ru;690-05-21,986-67-24;630011, г. Новосибирск, Красный просп., д.18;(8-383) 223-29-95, факс 223-57-00;280055
Сафин;Ралиф;Рафилович;06.01.1954;Представитель от законодательного (представительного) органа государственной власти Республики Алтай;Заместитель председателя Комиссии Совета Федерации по делам молодежи и туризму, Член Комитета Совета Федерации по делам Содружества Независимых Государств, Член Комиссии Совета Федерации по естественным монополиям;05.06.2002;март 2014;RRSafin@council.gov.ru;692-12-29ф, 692-62-32,986-60-28;659700, г. Горно-Алтайск, ул. Эркемена Палкина, д.1, ком. 423;(8-388-22) тел./факс 2-40-39, 2-26-53;279880
Серебренников;Евгений;Александрович;22.04.1954;Представитель от законодательного (представительного) органа государственной власти Республики Хакасия;Первый заместитель председателя Комитета Совета Федерации по обороне и безопасности, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;25.09.2006;март 2013;EASerebrennikov@council.gov.ru;,986-60-72;655000, г. Абакан, просп. Ленина, д. 67;(8-390) 222-47-59;279928
Слуцкер;Владимир;Иосифович;27.08.1956;Представитель от исполнительного органа государственной власти Чувашской Республики;Заместитель председателя Комитета Совета Федерации по промышленной политике, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;18.01.2002;август 2010;VISlucker@council.gov.ru;692-58-18,986-60-75;428028, г. Чебоксары, пр-т М.Горького, д. 24;(8-835-2) 41-98-93;279933
Смирнов;Александр;Васильевич;19.10.1958;Представитель от исполнительного органа государственной власти  Республики Мордовия;Заместитель председателя Комитета Совета Федерации по бюджету, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;13.04.2005;ноябрь 2010;AVSmirnov@council.gov.ru;692-69-70, 697-43-47,986-67-12;430002, г. Саранск, ул.Советская, д.35;(8-834-2) 32-77-54;279913
Смирнов;Юрий;Валентинович;01.12.1952;Представитель от законодательного (представительного) органа государственной власти  Ивановской области;Первый заместитель председателя Комиссии Совета Федерации по делам молодежи и туризму, Член Комитета Совета Федерации по делам Федерации и региональной политике;19.02.2004;март 2013;JVSmirnov@council.gov.ru;692-67-49,986-65-21;153001, г. Иваново, ул. Батурина, д. 5;(8-493-2) 41-92-88, 37-58-66;279992
Солонин;Юрий;Никифорович;05.06.1941;Представитель от исполнительного органа государственной власти Хабаровского края;Первый заместитель председателя Комиссии Совета Федерации по вопросам развития институтов гражданского общества, Член Комитета Совета Федерации по образованию и науке, Член Комиссии Совета Федерации по информационной политике;09.02.2005;май 2013;UNSolonin@council.gov.ru;629-85-44,986-68-63;680000, Хабаровск, ул.К.Маркса, д.56, каб.10;(8-421-2) 32-51-21;279957
Сорокин;Борис;Аркадьевич;05.06.1947;Представитель от законодательного (представительного) органа государственной власти Камчатского края;Заместитель председателя Комиссии Совета Федерации по национальной морской политике, Член Комитета Совета Федерации по делам Севера и малочисленных народов;20.02.2008;декабрь 2011;BASorokin@council.gov.ru;692-62-27,986-60-04;683017, г. Петропавловск-Камчатский, ул. Владивостокская, д. 2/1;(8-415-2) 41-22-62;1647936
Сорокин;Михаил;Михайлович;22.06.1946;Представитель от законодательного (представительного) органа государственной власти Новгородской области;Заместитель председателя Комитета Совета Федерации по обороне и безопасности, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;28.11.2001;октябрь 2011;MMSorokin@council.gov.ru;697-59-87, 697-60-47ф, 697-94-78,986-63-59;173005, г. Великий Новгород, Софийская пл., д.1;(8-816-2)  73-05-28;280052
Строев;Егор;Семенович;25.02.1937;Представитель от исполнительного органа государственной власти Орловской области;Член Комитета Совета Федерации по правовым и судебным вопросам;25.03.2009;февраль 2014;ESStroev@council.gov.ru;,986-64-67;;;280064
Суворов;Александр;Адамович;30.03.1943;Представитель от исполнительного органа государственной власти Томской области;Заместитель председателя Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Заместитель председателя Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству, Член Комитета Совета Федерации по делам Федерации и региональной политике;25.03.2004;март 2012;AASuvorov@council.gov.ru;692-58-92,986-65-07;634050, г. Томск, пл.Ленина, д.6;(8-382-2) 51-03-92, 51-50-16;280106
Сударенков;Валерий;Васильевич;13.06.1940;Представитель от исполнительного органа государственной власти Калужской области;Член Комитета Совета Федерации по образованию и науке, Член Комиссии Совета Федерации по культуре, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;18.11.2000;июль 2010;VVSudarenkov@council.gov.ru;692-67-18,986-60-79;248600, г. Калуга. пл. Старый Торг, д. 2;(8-484-2) 56-32-23, 53-17-18;280004
Сурков;Константин;Викторович;03.03.1956;Представитель от Читинской областной Думы;Первый заместитель председателя Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комитета Совета Федерации по конституционному законодательству;27.04.2005;январь 2010;KVSurkov@council.gov.ru;692-57-70,986-60-12;672021, г. Чита, ул. Чайковского, д.8, ком. 115;(8-302-2) 35-74-89, тел./факс 35-18-28;1649002
Тарло;Евгений;Георгиевич;13.02.1958;Представитель от исполнительного органа государственной власти Тамбовской области;Член Комитета Совета Федерации по конституционному законодательству, Член Комиссии Совета Федерации по культуре;11.07.2007;июль 2010;EGTarlo@council.gov.ru;,986-62-54;;;280100
Тер-Аванесов;Александр;Борисович;13.10.1969;Представитель от законодательного (представительного) органа государственной власти Костромской области;Заместитель председателя Комитета Совета Федерации по делам Федерации и региональной политике, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;08.02.2006;октябрь 2010;ABTerAvanesov@council.gov.ru;629-90-80,986-69-63;;;280018
Титов;Константин;Алексеевич;30.10.1944;Представитель от исполнительного органа государственной власти Самарской области;Заместитель председателя Комитета Совета Федерации по социальной политике и здравоохранению, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации;17.10.2007;август 2012;KATitov@council.gov.ru;697-99-09,6-79-09;443006, г. Самара, ул. Молодогвардейская, л. 210;(8-846) 242-33-02, 333-28-01;280085
Ткач;Олег;Поликарпович;23.09.1967;Представитель от исполнительного органа государственной власти Калининградской области;Первый заместитель председателя Комиссии Совета Федерации по информационной политике, Член Комитета Совета Федерации по обороне и безопасности;22.01.2004;сентябрь 2010;OPTkach@council.gov.ru;692-12-87,986-69-88;236007, Калининград, ул.Дмитрия  Донского, д.1;(8-401-2) 21-44-90;280001
Ткачёва;Нина;Васильевна;28.03.1954;Представитель от законодательного (представительного) органа государственной власти Курской области;Заместитель председателя Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации, Член Комитета Совета Федерации по бюджету, Член Комиссии Совета Федерации по вопросам развития институтов гражданского общества;26.05.2006;март 2011;NVTkacheva@council.gov.ru;692-63-76,986-63-76;305000, г. Курск, ул. Радищева, д. 17;(8-471-2) 56-29-55, 56-22-21;280023
Толкачев;Олег;Михайлович;18.11.1948;Представитель от исполнительного органа государственной власти города Москвы;Председатель Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству, Член Комитета Совета Федерации по экономической политике, предпринимательству и собственности, Член Комиссии Совета Федерации по национальной морской политике;14.01.2004;июль 2011;OMTolkachev@council.gov.ru;692-24-78ф,6-71-12;103032, г. Москва, ул. Тверская, д.13, ком. 204;(8-495) 692-06-63, 725-04-01;280041
Тонков;Николай;Иванович;24.12.1966;Представитель от законодательного (представительного) органа государственной власти Ярославской области;Заместитель председателя Комитета Совета Федерации по вопросам местного самоуправления, Член Комиссии Совета Федерации по делам молодежи и туризму;09.04.2004;март 2013;NITonkov@council.gov.ru;692-11-42,986-68-33;150000, Ярославль, Советская пл., д.5, каб.26;(8-485-2)  72-63-99;280133
Торлопов;Владимир;Александрович;14.11.1949;Представитель от исполнительного органа государственной власти Республики Коми;Заместитель председателя Комитета Совета Федерации по делам Севера и малочисленных народов;03.03.2010;январь 2014;VATorlopov@council.gov.ru;623-43-95,986-60-26;;;279907
Торшин;Александр;Порфирьевич;27.11.1953;Представитель от исполнительного органа государственной власти Республики Марий Эл;Первый заместитель Председателя Совета Федерации;26.01.2001;январь 2015;APTorshin@council.gov.ru;692-59-21,986-62-80;424001, г. Йошкар-Ола, Ленинский проспект, д.29;(8-836-2) 42-68-04;279910
Третяк;Борис;Никитович;12.02.1938;Представитель от Сахалинской областной Думы;Заместитель председателя Комитета Совета Федерации по делам Содружества Независимых Государств, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;13.12.2001;октябрь 2008;BNTretjak@council.gov.ru;692-66-29,986-60-98;693011, г. Южно-Сахалинск, ул.Чехова, д.37;(8-424-2) 42-14-39;280091
Трофимов;Евгений;Никитович;22.12.1947;Представитель от законодательного (представительного) органа государственной власти  Республики Коми;Заместитель председателя Комитета Совета Федерации по социальной политике и здравоохранению, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации;21.12.2001;март 2011;ENTrofimov@council.gov.ru;623-78-61,986-60-85;167610, г. Сыктывкар, ул. Коммунистическая, д.8;(8-821-2) 28-55-36;279907
Тулаев;Николай;Петрович;11.10.1954;Представитель от законодательного (представительного) органа государственной власти Калининградской области;Председатель Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комитета Совета Федерации по обороне и безопасности, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;08.12.2000;март 2011;NPTulaev@council.gov.ru;692-59-84ф,986-60-86;236000, Калининград, ул.Кирова, д.17;(8-401-2) 59-95-04;280001
Тягачев;Леонид;Васильевич;10.10.1946;Представитель от законодательного (представительного) органа государственной власти Ростовской области;Член Комитета Совета Федерации по бюджету, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;11.07.2007;март 2013;LVTyagachev@council.gov.ru;692-62-29,986-65-77, 986-69-41;;;280079
