Название;Регион;Район;Населённый пункт;Адрес;Широта;Долгота;Телефоны;Время работы
"МУЗ ""ЦРБ"" Серпуховская станция переливания крови""";Московская область;Серпуховский район;Серпухов;"г. Серпухов, ул. Форсса, 3; СПК: ул. Комсомольская, 4";54.920775;37.4169;"(496) 735-77-85, 735-77-87; СПК: 775-13-09";пн-пт 8.00-12.00
"ГУЗ ""Московский областной онкологический диспансер""";Московская область;Балашихинский район;Балашиха;г. Балашиха-8, ул. Карбышева, 6;55.789582;37.964564;"(495) 521-46-26; ОПК: 521-56-38";пн,ср,пт 8.00-12.00
"МУ г.о. Балашиха ""ЦРБ""";Московская область;Балашихинский район;Балашиха;г. Балашиха, ш. Энтузиастов, 41;55.798141;37.967493;(495) 521-00-01, 521-24-81, 521-61-08;
"МУЗ ""Видновская РБ""";Московская область;Видное городской округ;Видное;г. Видное, ул. Заводская, 15, 17;55.553669;37.726296;(495) 541-46-12 ОПК (495) 541-97-22;вт,ср 8.00-11.30
"МУ ""Домодедовская ЦРБ""";Московская область;Домодедовский район;Домодедово;г. Домодедово, ул. Пирогова, 6;55.440574;37.747069;"(495) 996-21-36, 793-54-51; ОПК: 793-52-18";вт. 8.30-11.00
"МУЗ ""Дмитровская ГБ""";Московская область;Дмитровский район;Дмитров;г. Дмитров, ул. Больничная, 7;56.344458;37.533126;(495) 993-91-30 ОПК: 223-14-59;пн,вт 8.30-12.00
"МУЗ ""Дубненская ГБ""";Московская область;Дубна городской округ;Дубна;г. Дубна, ул. Карла Маркса, 30;56.755619;37.142864;"(496) 215-54-61, 212-33-39; ОПК: 215-71-46";вт,чт 9.00-12.00
"МУЗ ""Егорьевская ЦРБ""";Московская область;Егорьевский район;Егорьевск;г. Егорьевск, ул. Жукова Гора, 19;55.380102;39.035643;"(496) 404-35-01, 403-94-50; ОПК: 404-35-03";вт,чт 8.00-15.40
"МУ ""ГКБ г. Жуковский""";Московская область;Жуковский городской округ;Жуковский;г. Жуковский, ул. Фрунзе, 1;55.598398;38.121688;"(495) 556-22-04, 556-10-25; ОПК: 556-96-74";вт,чт 9.00-12.00
"МУЗ Сергиево-Посадского р-на ""РБ""";Московская область;Сергиево-Посадский район;Сергиев Посад;г. Сергиев Посад, Ново-Угличское ш., 62а;56.313985;38.131371;(496) 542-14-79, ОПК: 542-29-52;пн, вт 8.00-10.30
"МУ ""Зарайская ЦРБ""";Московская область;Зарайский район;Зарайск;г. Зарайск, ул. Октябрьская, 5;54.764444;38.879474;"(496) 662-51-31, 662-46-47; ОПК: 662-43-98";пн 8.00-15.00
"МУЗ ""Звенигордская ЦГБ""";Московская область;Звенигород городской округ;Звенигород;г. Звенигород, ул. Лермонтова, 6;55.737347;36.862879;(495) 597-11-20, ОПК: 327-46-78;чт,сб 9.00-12.00
"МУЗ ""Ивантеевская ЦГБ""";Московская область;Ивантеевка городской округ;Ивантеевка;г. Ивантеевка, ул. Первомайская, 39;55.977252;37.904826;"(495) 993-32-02, (496) 536-11-14; ОПК:(496) 536-13-89";вт 9.00-13.00
"МЛПУ Истринская РБ""";Московская область;Истринский район;Истра;г. Истра, ул. Урицкого, 83;55.928436;36.867646;(495) 994-50-12, ОПК: 314-60-84;вт,ср,чт 9.00-12.00
МУЗ ГБ №1 г.Королев М.О.;Московская область;Королев городской округ;Королёв;г. Королев, ул. Циалковского, 24;55.920753;37.826858;"(495) 511-54-43, 511-0454; ОПК: 511-84-53";ср 9.00-13.00
"МУ ""Каширская ЦРБ""";Московская область;Каширский район;Кашира;г. Кашира, ул. Больничная, 2;54.839519;38.159623;"(496) 692-04-96, 692-35-22; ОПК: 692-26-39";ср 8.00-12.00
"МУЗ ""Клинская ГБ""";Московская область;Клинский район;Клин;г. Клин, ул. Победы, вл. 2;56.331876;36.721702;"(496) 247-00-07, 247-00-06; ОПК: 247-00-21";вт-пт 9.00-11.30
"МУЗ ""Коломенская ЦРБ""";Московская область;Коломенский район;Коломна;г. Коломна, ул. Октябрьской революции, 318;55.091205;38.775555;"(496) 612-56-24, 612-72-22; ОПК: 615-01-45";вт,чт 8.00-12.00
"МЛПУ ""Красногорская ГБ №1""";Московская область;Красногорский район;Красногорск;г. Красногорск, ул. Карбышева, 4;55.837558;37.308;"(495) 563-82-00, 564-32-73; ОПК: 563-15-01";вт,ср 9.00-12.00
"МУ ""Луховицкая ЦРБ""";Московская область;Луховицкий район;Луховицы;г. Луховицы, ул. Мира, 39/5;54.963257;39.023752;(496) 636-19-75, ОПК: 636-24-68;ср 9.00-13.30
"МУЗ ""ЦГБ"" г.Лыткарино";Московская область;Лыткарино городской округ;Лыткарино;г. Лыткарино, ул. Коммунистическая, 63;55.576557;37.901661;(495) 552-06-82, ОПК: 552-84-77;чт 8.00-10.00
"МУЗ ""Можайская ЦРБ""";Московская область;Можайский район;Можайск;г. Можайск, ул. Амбулаторная, 1;55.504775;36.025537;"(496) 382-47-21, 382-06-76; ОПК: 382-26-32";ср 9.00-13.00
"МУЗ ""Озерская ЦРБ""";Московская область;Озерский район;Озеры;г. Озерцы, ул. Ленина, 73а;54.854991;38.526192;"(496) 702-11-55, 702-11-49; ОПК: 702-33-05";вт,чт 8.00-15.00
"МУЗ ""Одинцовская ЦРБ""";Московская область;Одинцовский район;Одинцово;г. Одинцово, ул. Маршала Бирюзова, 5;55.686061;37.260945;(495) 593-12-40, ОПК: 596-27-00;пн,ср,чт 9.00-12.00
"МУЗ ""Павлово-Посадская ЦРБ""";Московская область;Павлово-Посадский район;Павловский Посад;г. Павловский Посад, ул. Карла Маркса, 6;55.784979;38.656263;"(496) 432-34-64, 432-25-55; ОПК: 432-23-39";вт,чт 8.00-12.00
"МЛПУ ""Пушкинская РБ им. проф.Розанова В.Н.""";Московская область;Пушкинский район;Пушкино;г. Пушкино, ул. Авиационная, 35;56.017955;37.836204;"(495) 993-31-47, 993-34-19; ОПК: (496) 535-09-01";вт 9.30-13.00
"МУЗ ""Раменская ЦРБ""";Московская область;Раменский район;Раменское;г. Раменское, ул. Махова, 14;55.571146;38.221428;"(495) 556-22-37, (496) 467-22-61; ОПК: (496) 463-47-58";пн,вт 9.00-13.00
"МУЗ ""Рузская РБ""";Московская область;Рузский район;Руза;г. Руза, ул. Революционная, 21а;55.698154;36.203206;(496) 272-30-18, ОПК: 272-00-11;вт 8.00-13.00
"МУЗ ""Солнечногорская ЦРБ""";Московская область;Солнечногорский район;Солнечногорск;г. Солнечногорск, м/р Рекинцо;56.178929;37.000465;"(495) 994-14-30, (496) 264-46-35; ОПК (495) 994-15-51";вт 9.00-12.00
"МУЗ ""Ступинская ЦРКБ""";Московская область;Ступинский район;Ступино;г. Ступино, ул. Чайковского, вл.7, корп.1;54.8842;38.069481;"(496) 642-88-78, 642-03-51; ОПК: 642-35-94";вт,чт 9.00-13.00
"МУЗ ""Серебряно-Прудская ЦРБ""";Московская область;Серебряно-Прудский район;Серебрянные Пруды пос.;г. Серебряные Пруды, ул. Школьная, 4;54.466361;38.714433;(496) 673-33-96, ОПК: 673-32-91;вт,чт 8.00-12.00
"МУЗ ""Чеховская РБ №1""";Московская область;Чеховский район;Чехов;г. Чехов, ул. Московская, 85;55.149454;37.459041;"(496) 726-24-50, 723-07-90; ОПК: 726-36-23";пн,ср 8.00-12.00
"МУЗ ""Химкинская ЦГБ""";Московская область;Химкинский район;Химки;г. Химки, Ленинский пр-т, 14;55.900866;37.444725;(495) 575-87-97, ОПК: 575-85-58;вт,чт 9.00-13.00
"МУЗ ""Электростальная ЦГБ""";Московская область;Электросталь городской округ;Электросталь;г. Электросталь, ул. Пушкина, 3;55.792069;38.437339;(496) 574-71-17, ОПК: 574-71-09;вт, чт 8.00-12.00
"МУЗ ""Шатурская ЦРБ""";Московская область;Шатурский район;Шатура;г. Шатура, Больничный проезд, 2;55.575268;39.53908;"(496) 452-57-02, 452-27-45; ОПК: 452-82-42";пн,чт 8.00-11.00
"МУЗ г.о. Рошаля ""Рошальская ГБ""";Московская область;Рошаль городской округ;Рошаль;г. Рошаль, ул. Первомайская, 2;55.664932;39.856653;"(496) 455-18-79, 455-10-81; ОПК: 455-20-03";вт,чт 9.00-11.00
"МЛПУ ""Протвинская ГБ""";Московская область;Протвино городской округ;Протвино;г. Протвино, ул. Ленина, 15;54.872277;37.2179;(496) 774-24-54, ОПК: 774-29-81;вт,ср 7.00-12.00
"МУЗ ""ЦГБ им. М.В.Гольца"" г.Фрязино";Московская область;Фрязино городской округ;Фрязино;г. Фрязино, ул. Московская, 7;55.956998;38.057905;(496) 564-45-43, ОПК: 564-37-56;пн,ср 8.00-11.00
Зуевское ОПК;Кировская область;Зуевский;Зуевка;г. Зуевка, ул. Исполкомовская, 109 А;58.396999;51.144360;"телефона нет, за дополнительной информацией обращаться по телефону  ГЛПУ ""Кировская ОСПК""";пн-пт 8.00-16.00, забор крови по предварительной записи
"ГУ ""Научный Центр сердечно-сосудистой хирургии им. А.Н. Бакулева РАМН"" г. Москва";Москва;Москва;Москва;Рублевское шоссе, 135;55.761902;37.371705;(495) 414-75-70, 414-75-71;
Вязниковская областная станция переливания крови;Владимирская область;Вязниковский;Вязники;г. Вязники, ул. Вокзальная, 42;56.244820;42.129769;(49233) 2-14-50;пн-пт 8.00-16.30
Камешково;Владимирская область;Камешковский;Камешково;г. Камешково, ул. Советская, 2а;56.346512;40.993130;(09248) 2-16-12;пн-пт 8.00-16.30
Киржач;Владимирская область;Киржачский;Киржач;г. Киржач, ул. Б.проезд, 3;56.165958;38.884571;(09237) 2-19-28;пн-пт 8.00-16.30
Собинка;Владимирская область;Собинкский;Собинка;г. Собинка, ул. Ленина;55.984291;39.987511;(242) 2-28-54;пн-пт 8.00-16.30
Кинешемский филиал;Ивановская область;Кинешминский;Кинешма;г. Кинешма, ул. Гагарина, 2а;57.449749;42.132080;пн-пт 8.00-15.00;пн-пт 8.00-15.00
Шуйский филиал;Ивановская область;Шуйский;Шуя;г. Шуя, ул. Металлистов, 1в;56.862289;56.862289;(09251) 2-05-63;пн-пт 8.00 - 15.00
Вичугский  филиал;Ивановская область;Вичугский;Вичуга;г. Вичуга, ул. Ульяновская, 12;57.209480;41.920872;(09354) 2-46-56;пн-пт 8.00-15.00
Фурмановский филиал;Ивановская область;Фурмановский;Фурманов;г. Фурманов, Нижний двор-41;57.250671;41.109841;(09341) 2-10-50;пн-пт 8.00-15.00
Комсомольский филиал;Ивановская область;Комсомольский;Комсомольск;г. Комсомольск, ул. Колганова, 1;57.025330;40.378880;(09352) 2-14-01;пн-пт 8.00 - 15.00
Южский филиал;Ивановская область;Южский;Южа;г. Южа, ул. Советская, 13;56.587921;42.007229;(09347) 2-17-92;пн-пт 8.00 - 15.00
"Филиал ""Ивановский 1""";Ивановская область;Ивановский;Иваново;г. Иваново, ул. Любимова, 1;56.959250;41.027498;(4932) 56-33-49, 26-42-18;пн-пт 8.00-15.00
"Филиал ""Ивановский 2""";Ивановская область;Ивановский;Иваново;г. Иваново, ул. Любимова, 5;56.957987;41.025782;(4932) 56-63-77;пн-пт 8.00-15.00
"Экспедиция №2 ГУЗ ""Калужская областная СПК""";Калужская область;Кировский район;Киров;г. Киров, ул. Энгельса, 1;54.072899;34.309448;(48456) 5-14-11;пн-пт 8.00-12.00
"ОМУЗ ""Обоянская ЦБ""";Курская область;Обояньский;Обоянь;г. Обоянь, ул. Федоровского, 34;51.211651;36.278912;(47141) 2-12-83, 2-12-52;пн-пт  8.00 - 12.00
"МУЗ ""Грязинская ЦРБ""";Липецкая область;Грязенский;Грязи;г. Грязи, ул. Социалистическая, 5;52.493511;39.910770;(47461) 2-21-66;пн-пт 8.00-16.00
Мценский филиал;Орловская область;Мценский;Мценск;г. Мценск, ул. 20 Июля, 2а;53.288818;36.592011;(48646) 4-03-93, 2-64-18;пн-пт 8.00-13.00
Ливенский филиал;Орловская область;Ливны;Ливны;г. Ливны, ул. Капитана Филиппова, 64а;52.426170;37.617321;(48677) 2-32-93;пн-пт 8.00-13.00
"ГУЗ ""Тульская областная СПК №2""";Тульская область;Ефремовский;Ефремов;г. Ефремов, ул. Дружбы, 9Б;53.139050;38.113690;(48741) 5-56-88;пн-пт 8.00-13.00
"ГУЗ ""Тульская областная СПК №3""";Тульская область;Новомосковск городской округ;Новомосковск;г. Новомосковск, ул. Чапаева, 12-А;54.079639;38.229550;(48762) 6-31-67;пн-пт 8.00-13.30
Отделение забора крови №4;Ярославская область;Гаврилов-Ямский;Гаврилов-Ям;г. Гаврилов-Ям, ул. Северная, 5;57.303773;39.856281;(48534) 2-44-59, 2-08-09, 2-01-03;вт 8.00-12-00
Отделение забора крови №5;Ярославская область;Даниловский;Данилов;г. Данилов, ул. Карла Маркса, 64;58.18723;40.196171;(48538) 5-25-49, 5-17-38;вт 8.00-12.00
Отделение забора крови №6;Ярославская область;Ростовский;Ростов;г. Ростов, ул. Пролетарская, 23;57.200327;39.449787;(48536) 6-23-31, 3-51-81;пн, ср 8.00-12.00
"ГМУ ""Республиканская КБ""";Республика Татарстан;Казань- городской округ;Казань;г. Казань, ул. Оренбургский тракт, 138б;55.728834;49.187735;(843) 269-37-99, 269-39-98, ОПК: 268-32-38;пн-пт  8.00 - 14.00
"ГУЗ ""Краевая станция переливания крови №2""";Пермский край;Кунгурский;Кунгур;г. Кунгур, ул Красногвардейцев, 45г;57.429890;56.950008;(34271) 2-69-61;пн-пт 8.00-13.00
"МУ ""ГБ №1 им. академика Е.А. Вагнера""";Пермский край;Березниковский;Березенки;г. Березники, ул. Деменева, 12;59.401470;56.799480;(34242) 6-24-03, 6-44-84, 6-46-07;пн-пт 8.00-13.00
"ММУ ""Верещагинская РБ""";Пермский край;Верещагинский;Верещагино;г. Верещагино, ул. Октябрьская, 74;58.078602;54.663761;(34254) 3-40-60, 3-41-02;пн-пт 8.00-13.00
"МЛПУ ""Губахинская ГБ""";Пермский край;Губахский;Губаха;г. Губаха, ул. Суворова, 3;58.864891;57.603009;(34248) 4-02-41, 4-08-04;пн-пт 8.00-13.00
"ММУЗ ""Добрянская ЦРБ""";Пермский край;Добрянковский;Добрянка;г. Добрянка, ул. Герцена, 40;58.460300;56.408859;( 34265) 2-65-78, 2-85-37;пн-пт 8.00-13.00
"ГКУЗ ""Коми-Пермяцкая ОБ""";Пермский край;Кудымкарский;Кудымкар;г. Кудымкар, ул. Пирогова, 2;59.009411;54.668381;(34260) 4-15-00, 4-13-53;пн-пт 8.00-13.00
"МЛПУ ""Красновишерская РБ""";Пермский край;Красновишерский;Красновишерск;г. Красновишерск, ул. Победы, 3;60.400269;57.086712;(34243) 3-03-93, 3-03-97;пн-пт 8.00-13.00
"МУЗ ""Краснокамская ГБ""";Пермский край;Краснокамский;Краснокамск;г. Краснокамск, ул. Пушкина, 2;58.079781;55.731541;(34273) 4-16-71, 4-16-53;пн-пт 8.00-13.00
"ММУЗ ""Кизеловская ГБ""";Пермский край;Кизелский;Кизел;г. Кизел, ул. Борчанинова, 1;59.043308;57.654510;(34255) 5-14-10, 5-14-46;пн-пт 8.00-13.00
"МУЗ ""ГБ г. Лысьва""";Пермский край;Лысьвский;Лысьва;г. Лысьва, ул. Гайдара, 1;58.100380;57.804329;(34249) 2-31-36, 2-32-70;пн-пт 8.00-13.00
"МЛПУ ""ЦРБ г. Чайковского с прилегающей территорией""";Пермский край;Чайковский;Чайковский;г. Чайковский, ул. Ленина, 34/2;56.764381;54.106320;(34241) 3-39-22, 3-25-15, 3-44-17;пн-пт 8.00-13.00
"ММУ ""Чернушинская ЦРБ""";Пермский край;Чернушковский;Чернушка;г. Чернушка, ул. Коммунистическая, 16;56.502522;56.087398;(34261) 4-25-57, 4-24-59;пн-пт 8.00-13.00
"МУЗ ""Чусовская ГБ""";Пермский край;Чусовский;Чусовой;г. Чусовой, ул. Некрасова, 1;58.288189;57.826660;(34256) 5-21-93, 5-64-85;пн-пт 8.00-13.00
"МУЗ ""Соль-Илецкая ЦРБ""";Оренбургская область;Соль-Илецкий;Соль-Илецк;г. Соль-Илецк, ул. Ленинградская, 1;51.158169;54.995110;(35336) 2-72-30;пн, вт, ср 8.00-12.00
"ГУ ""Городская КБ №9""";Республика Чечня;Грозненский;Грозный;г. Грозный, ул. Тасуева, 8;43.309841;45.670391;(8712) 22-41-48;круглосуточно
"МУЗ ""Наримановская ЦРБ""";Астраханская  область;Наримановский;Нариманов;г. Нариманов, ул. Школьная, 1;46.683333;47.850000;(85171) 6-36-73, 6-10-53;вт,чт 8.00-12.00
"МУЗ ""Черноярская ЦРБ""";Астраханская  область;Черноярский;с. Черный Яр;с. Черный Яр, ул. Маршала Жукова, 1;48.060120;46.108620;(85149) 2-14-70;вт,чт 8.00-12.00
"МУЗ ""ГБ №5""";Алтайский край;Барнаул;Барнаул;г. Барнаул, Змеиногорский тракт, 75;53.354282;83.7612;(3852) 68-84-48, 68-89-30;пн-чт 9.00-12.00
"ГУЗ ""Станция переливания крови г. Рубцовска""";Алтайский край;Рубцовский район;Рубцовск;г. Рубцовск, пр. Рубцовский, 35а;51.526325;81.201611;(38558) 4-65-60;пн-пт 8.00-14.00
"МУЗ ""ЦРБ с. Завьялово""";Алтайский край;Завьяловский район;с. Завьялово;Завьяловский р-он, с. Завьялово, ул. Боровая, 51;52.836083;80.918312;(3852) 2-21-87;вт,чт 9.00-12.00
"МУЗ ""Заринская ЦРБ""";Алтайский край;Заринский район;Заринск;г. Заринск, ул. 25 Партсъезда, 40;53.70895;84.967282;(3852) 4-33-72, 7-58-66;пн-чт 9.00-12.00
"МУЗ ""ЦРБ"" муниципального образования городской округ ""Город Камень-на-Оби""";Алтайский край;Каменский район;Камень-на-Оби;г. Камень-на-Оби, ул. Гоголя, 91;53.782744;81.343135;(38514) 5-13-04;вт,чт 9.00-12.00
"МУЗ ""Славгородская ЦРБ""";Алтайский край;Славгородский район;Славгород;г. Славгород, ул. Ленина, 288;52.991706;78.647633;(38568) 5-33-08, 5-15-03;пн-чт 9.00-12.00
"МУЗ ""Троицкая ЦРБ""";Алтайский край;Троицкий район;с. Троицкое;Троицкий р-он, с.Троицкое, ул. Чапаева, 75;52.833042;84.506192;(38534) 2-21-87;вт,чт 9.00-12.00
"ГУЗ ""Прокопьевская СПК""";Кемеровская область;Прокопьевский район;Прокопьевск;г. Прокопьевск, пр. Шахтеров, 13;53.880951;86.727524;(38466) 1-26-23;пн-пт 9.00-13.00
"ГУЗ ""Междуреченская СПК""";Кемеровская область;Междуреченский район;Междуреченск;г. Междуреченск, ул. Чехова, 2;53.721619;88.068817;(38475) 2-50-56;пн-пт 8.00-14.00
"МУЗ ""ГБ №1""";Кемеровская область;Юргинский район;Юрга;г. Юрга, ул. Леонова, 3;55.734508;84.879967;(38451) 6-68-60, 4-14-40;пн-пт 8.00-12.00
"МУЗ ""ГКБ №3 им. М.А. Подгорбунского""";Кемеровская область;Кемерово;Кемерово;г. Кемерово, ул. Н. Островского, 22;55.371240;86.052395;(3842) 36-27-35;пн-пт 8.00-12.00
"МУЗ ""ЦРБ Тяжинского р-на""";Кемеровская область;Тяжинский район;пос. Тяжинский;пгт. Тяжин, ул. Октябрьская, 2;56.120491;88.518311;(38449) 2-15-56, 2-11-70;пн-пт 8.00-14.00
"МУЗ ""ЦРБ Яшкинского р-на""";Кемеровская область;Яшкинский район;п. Яшкино;пгт. Яшкино, ул. Советская, 136;55.868740;85.423210;(38455) 2-56-53, 2-58-42;вт,чт 8.30-12.00
"МУЗ ""ЦРБ Юргинского р-на""";Кемеровская область;Юргинский район;Юрга;г. Юрга, пер. Шоссейный, 8;55.734474;84.879727;(38451) 6-65-24, 6-61-36;пн,ср,пт 8.00-12.00
"МУЗ ""ГБ №4""";Кемеровская область;Новокузнецкий район;Новокузнецк;г. Новокузнецк, ул. Димитрова, 33;53.740750;87.113487;(3843) 73-49-49, 73-46-46;круглосуточно
Бердская ЦГБ;Новосибирская область;Бердск городской округ;Бердск;г. Бердск, ул. Островского, 53;54.763550;83.103447;(38341) 2-66-77;пн-чт 8.30-12.30
Искитимская ЦРБ;Новосибирская область;Искитимский район;Искитим;г. Искитим, ул. Пушкина, 52;54.640209;83.306343;(38343) 2-39-33;пн-чт 8.30-12.30
Карасукская ЦРБ;Новосибирская область;Карасукский район;Карасук;г. Карасук, ул. Гагарина, 1а;53.723190;78.057663;(38355) 3-31-18;вт,чт 8.30-12.30
Каргатская ЦРБ;Новосибирская область;Каргатский район;Каргат;г. Каргат, ул. Трудовая, 30;55.200901;80.277443;(38365) 2-25-31;вт,чт 8.30-12.30
Кочковская ЦРБ;Новосибирская область;Кочковский район;с. Кочки;с. Кочки, ул. Революционная, 35;54.333130;80.504021;(38356) 2-21-96, 2-21-52;вт,чт 8.30-12.30
Краснозерская ЦРБ;Новосибирская область;Краснозёрский район;р.п. Краснозерское;р.п. Краснозерское, ул. Ленина, 81;53.984299;79.241287;(38357) 4-31-37, 4-24-32;вт,чт 8.30-12.30
Купинская ЦРБ;Новосибирская область;Купинский район;Купино;г. Купино, ул. Лесная, 1;54.370571;77.297020;(38358) 2-38-13;вт,чт 8.30-12.30
Татарская ЦРБ;Новосибирская область;Татарский район;Татарск;г. Татарск, ул. Смирновская, 109;55.222099;75.990784;(38364) 2-08-88;вт,чт 8.30-12.30
Чановская ЦРБ;Новосибирская область;Чановский район;р.п. Чаны;р.п. Чаны, ул. Пионерская, 23;55.305420;76.767807;(38367) 2-13-96;вт,чт 8.30-12.30
"МУЗ ""Тарская ЦРБ""";Омская область;Тарский район;Тара;г. Тара, ул. Советская, 75;56.901470;74.376800;(38171) 2-04-06;вт 9.00-12.00
"МУЗ ""Называевская ЦРБ""";Омская область;Называевский район;Называевск;г. Называевск, ул. Мира, 56;55.563671;71.348930;(38161) 2-11-52;ср. 8.00-12.00
"МУЗ ""Черлакская ЦРБ""";Омская область;Черлакский район;р.п. Черлак;р.п. Черлак, ул. Транспортная, 16;54.150810;74.803413;(38153) 2-11-64;вт. 9.00-12.00
Онежский филиал;Архангельская область;Онежский;Онега;г. Онега, пр. Ленина, 80;63.908349;38.102045;(81839) 7-21-82;по предварительной записи
"МУЗ ""Кандалакшская ЦРБ""";Мурманская область;Кандалакшский;Кандалакша;г. Кандалакша, ул. Чкалова, 61;67.158028;32.420478;(81533) 7-12-28;пн-пт 8.00-13.00
"ГУЗ ""Великолукская станция переливания крови""";Псковская область;Велико Лукенский;Велкие Луки;г. Великие Луки, ул. Больничная, 4;56.346821;30.538999;(81153) 3-84-80;пн-пт 9.00-13.00, чт 15.00-18.00
Омутнинское ОПК;Кировская область;Омутнинский;Омутнинск;г. Омутнинск, ул. Спортивная, 1;58.666881;52.195099;(83352) 2-27-67;пн-пт 8.00-16.00, забор крови по предварительной записи
Яранское ОПК;Кировская область;Яранский;Яранск;г. Яранск, ул. Свободы, 59;57.307220;47.864239;(83367) 2-18-78;пн-пт 8.00-16.00, забор крови по предварительной записи
Уржумское ОПК;Кировская область;Уржумский;Уржум;г. Уржум, ул. Елкина, 91;57.109711;49.996971;(83363) 2-17-13;пн-пт 8.00-16.00, забор крови по предварительной записи
"ГУЗ ""Ленинградская областная клиническая больница""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;г. Санкт-Петербург, пр-т Луначарского, 45;60.034966;30.359319;(812) 511-09-18;пн-чт 9.30-13.00, пт 9.30-12.00
"МУЗ ""Солецкая ЦРБ""";Новгородская область;Сольцевский;Сольцы;г. Сольцы, ул. Новгородская, 38;58.123749;30.316910;(81655) 3-14-56;раз в неделю с 9.00 - далее в зависимости от количества доноров
"МУ ""Чудовская ЦРБ""";Новгородская область;Чудовский;Чудово;г. Чудово, ул. Косинова, 6;59.121490;31.650270;(81665) 5-44-67;раз в месяц  8.00-12.00
"Филиал №1 ОГУЗ ""Братская ОСПК""";Иркутская область;Братский район;Братск;г. Братск, п. Энергетик , 5 мкр., ул. Юбилейная, д. 13;56.303760;101.677338;(3953) 33-31-93;пн-пт 8.00 - 15.30
"ГУЗ ""Волгоградская областная СПК 1""";Волгоградская область;Камышин городской округ;Камышин;г. Камышин, 11-й кв., 6;50.082580;45.392681;"(84457) 9-30-91; 9-62-77";вт-чт 8.00 - 13.00
"ГУЗ ""Волгоградская областная СПК 2""";Волгоградская область;Волжский городской округ;Волжский;г. Волжский, Поликлиника трубного завода;48.795090;44.800690;"(8443) 22-28-11; 41-58-31";пн-пт 8.00 - 13.00
"ГУЗ ""Волгоградская областная СПК 4""";Волгоградская область;Урюпинск городской округ;Урюпинск;г. Урюпинск, ул. Весенняя, 2;50.802940;42.029491;"(84442) 3-83-94; 3-83-01";пн-пт 8.00 - 13.00
"МУЗ ""ГКБ СМП №25""";Волгоградская область;Волгоград городской округ;Волгоград;г. Волгоград, ул. Землячки, 74;48.759821;44.514932;(8442) 35-07-16, 39-07-16;вт,чт 8.00-12.00
"МУЗ ""КБ СМП №15""";Волгоградская область;Волгоград городской округ;Волгоград;г. Волгоград, ул. Андижанская, 1а;48.511099;44.554773;(8442) 67-11-53, 69-71-88;вт, чт 8.00 - 12.00
"МУЗ ""ЦРБ Котовского муниципального р-на""";Волгоградская область;Котовский городской округ;Котово;г. Котово, ул. Мира, 155;50.311050;44.835362;(84455) 2-58-75;вт,чт 8.00 - 12.00
"ГУЗ ""Воронежская ОКБ №1""";Воронежская область;Воронеж городской округ;Воронеж;г. Воронеж, Московский пр-т, 151;51.718431;39.180150;(4732) 66-27-53;пн-пт 8.00 - 14.00
"Филиал №1 ""ВОСПК""";Воронежская область;Борисоглебский;Борисоглебск;г. Борисоглебск, ул. Свободы, 20;51.365940;42.080540;"(47354) 2-66-17; 3-15-39";пн-пт 8.00 - 14.00
"Филиал №2 ""ВОСПК"" БСМП";Воронежская область;Воронеж городской округ;Воронеж;г. Воронеж, Пр. Патриотов, д. 23;51.645928;39.127393;"(4732) 72-38-68; 72-39-25, эксп. 47-64-01, 63-55-05";пн-пт 8.00 - 14.00
Воронежская областная станция переливания крови;Воронежская область;Воронеж городской округ;Воронеж;г. Воронеж, ул. Транспортная, 56;51.690081;39.209449;(4732) 37-29-56;пн-пт 8.00 - 14.00
Отделение переливания крови;Еврейская АО;Ленинский;с. Ленинское;Ленинский район, с. Ленинское, ул. Калинина, 3;47.936741;132.617401;(42663) 2-12-55;пн-пт 8.00-15.30
"МУЗ ""Облученская РБ""";Еврейская АО;Облученский;Облучье;г. Облучье, ул. Кузнечная, 6;49.015122;131.054077;(42666) 4-38-20, 4-41-09, 4-34-22;пн,вт 8.00 - 12.00
"ОГУЗ ""Станция переливания крови""";Еврейская АО;Биробиджанский;Биробиджан;г. Биробиджан, ул. Пионерская, 7, 679016;48.800671;132.899139;(42622) 6-86-95;пн-пт 8.30 - 12.30
"МУЗ ""Облученская ЦРБ""";Еврейская АО;Облученский;п. Теплоозерск;Облученский район, п. Теплоозерск, ул. Калинина, 11;49.007092;131.870743;(42666) 3-24-90 , 3-14-80;пн, ср 9.00 - 12.00
"МУЗ ""Смидовичская РБ""";Еврейская АО;Смидовичский;п. Смидович;Смидовичский район, п. Смидович, ул. Советская, 37;48.601711;133.800766;(42632) 2-25-40;пн-пт 8.00 - 15.45, вт 8.00-12.00
"ГУЗ ""Краевая больница №4""";Забайкальский край;Краснокаменский район;Краснокаменск;г. Краснокаменск, мкр. 3, ГОС-3 а/я 684;50.090050;118.032578;"(30245) 4-22-76; 4-21-72";пн,ср,чт 8.00 - 12.00
"ГУЗ ""Краевая станция переливания крови""";Забайкальский край;Читинский район;Чита;г. Чита, ул. Балябина, 5;52.045259;113.493361;"(3022) 35-45-11; 35-41-66";пн-пт 8.30 - 13.00
"ГУЗ ""Краевая КБ""";Забайкальский край;Читинский район;Чита;г. Чита, ул. Коханского, 7;52.056897;113.492460;(3022) 31-43-23, 31-43-24;пн,вт,чт 10.00-12.00
